fullname,motivation,surname,firstname,share,born,year,age,born_city,died,is_alive,category,born_country,gender,born_country_code,affiliation_city,affiliation,affiliation_country,lat,lng
Charles Albert Gobat,,Gobat,Charles Albert,2,1843-05-21,1902,58,Tramelan,1914-03-16,false,peace,Switzerland,male,CH,,none,,47.223677,7.1030216

Pieter Zeeman,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,Zeeman,Pieter,2,1865-05-25,1902,36,Zonnemaire,1943-10-09,false,physics,the Netherlands,male,NL,Amsterdam,Amsterdam University,the Netherlands,51.7162968,3.94788849065387

Hendrik Antoon Lorentz,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,Lorentz,Hendrik Antoon,2,1853-07-18,1902,48,Arnhem,1928-02-04,false,physics,the Netherlands,male,NL,Leiden,Leiden University,the Netherlands,52.0056642,5.87623450776413

Svante August Arrhenius,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,Arrhenius,Svante August,1,1859-02-19,1903,43,Vik,1927-10-02,false,chemistry,Sweden,male,SE,Stockholm,Stockholm University,Sweden,59.6120011,18.6581378

Bjørnstjerne Martinus Bjørnson,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",Bjørnson,Bjørnstjerne Martinus,1,1832-12-08,1903,70,Kvikne,1910-04-26,false,literature,Norway,male,NO,,none,,62.5676929,10.3185521

Niels Ryberg Finsen,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science",Finsen,Niels Ryberg,1,1860-12-15,1903,42,Thorshavn,1904-09-24,false,medicine,Faroe Islands (Denmark),male,DK,Copenhagen,Finsen Medical Light Institute,Denmark,62.012,-6.768

William Randal Cremer,,Cremer,William Randal,1,1828-03-18,1903,74,Fareham,1908-07-22,false,peace,United Kingdom,male,GB,,none,,50.85727295,-1.2132978197448

"Marie Curie, née Sklodowska",in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,"Curie, née Sklodowska",Marie,4,1867-11-07,1903,35,Warsaw,1934-07-04,false,physics,Russian Empire (now Poland),female,PL,Paris,Sorbonne University,France,52.2319237,21.0067265

Pierre Curie,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,Curie,Pierre,4,1859-05-15,1903,43,Paris,1906-04-19,false,physics,France,male,FR,Paris,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),France,48.8566101,2.3514992

Antoine Henri Becquerel,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,Becquerel,Antoine Henri,2,1852-12-15,1903,50,Paris,1908-08-25,false,physics,France,male,FR,Paris,École Polytechnique,France,48.8566101,2.3514992

Sir William Ramsay,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",Ramsay,Sir William,1,1852-10-02,1904,51,Glasgow,1916-07-23,false,chemistry,Scotland,male,GB,London,University College,United Kingdom,55.8611389,-4.2501672

Frédéric Mistral,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",Mistral,Frédéric,2,1830-09-08,1904,73,Maillane,1914-03-25,false,literature,France,male,FR,,none,,43.8325251,4.7825111

José Echegaray y Eizaguirre,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",Echegaray y Eizaguirre,José,2,1832-04-19,1904,71,Madrid,1916-09-04,false,literature,Spain,male,ES,,none,,40.4167047,-3.7035825

Ivan Petrovich Pavlov,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",Pavlov,Ivan Petrovich,1,1849-09-14,1904,54,Ryazan,1936-02-27,false,medicine,Russia,male,RU,St. Petersburg,Military Medical Academy,Russia,54.6295687,39.7425039

Lord Rayleigh (John William Strutt),for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,(John William Strutt),Lord Rayleigh,1,1842-11-12,1904,61,"Langford Grove, Maldon, Essex",1919-06-30,false,physics,United Kingdom,male,GB,London,Royal Institution of Great Britain,United Kingdom,51.7528637,0.662720581005317

Johann Friedrich Wilhelm Adolf von Baeyer,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",von Baeyer,Johann Friedrich Wilhelm Adolf,1,1835-10-31,1905,69,Berlin,1917-08-20,false,chemistry,Prussia (now Germany),male,DE,Munich,Munich University,Germany,52.5170365,13.3888599

Henryk Sienkiewicz,because of his outstanding merits as an epic writer,Sienkiewicz,Henryk,1,1846-05-05,1905,58,Wola Okrzejska,1916-11-15,false,literature,Poland,male,PL,,none,,51.7490356,22.1354431

Robert Koch,for his investigations and discoveries in relation to tuberculosis,Koch,Robert,1,1843-12-11,1905,61,Clausthal (now Clausthal-Zellerfeld),1910-05-27,false,medicine,Germany,male,DE,Berlin,Institute for Infectious Diseases,Germany,51.8070405,10.3364483

"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",,"von Suttner, née Countess Kinsky von Chinic und Tettau",Baroness Bertha Sophie Felicita,1,1843-06-09,1905,61,Prague,1914-06-21,false,peace,Austrian Empire (now Czech Republic),female,CZ,,none,,50.0874654,14.4212535

Philipp Eduard Anton von Lenard,for his work on cathode rays,von Lenard,Philipp Eduard Anton,1,1862-06-07,1905,42,Pressburg (now Bratislava),1947-05-20,false,physics,Hungary (now Slovakia),male,SK,Kiel,Kiel University,Germany,48.1359085,17.1597440625

Henri Moissan,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",Moissan,Henri,1,1852-09-28,1906,53,Paris,1907-02-20,false,chemistry,France,male,FR,Paris,Sorbonne University,France,48.8566101,2.3514992

Giosuè Carducci,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",Carducci,Giosuè,1,1835-07-27,1906,70,Val di Castello,1907-02-16,false,literature,Tuscany (now Italy),male,IT,,none,,44.4349901,11.0606829

Camillo Golgi,in recognition of their work on the structure of the nervous system,Golgi,Camillo,2,1843-07-07,1906,62,Corteno,1926-01-21,false,medicine,Italy,male,IT,Pavia,Pavia University,Italy,46.166198,10.243457

Santiago Ramón y Cajal,in recognition of their work on the structure of the nervous system,Ramón y Cajal,Santiago,2,1852-05-01,1906,53,Petilla de Aragó,1934-10-17,false,medicine,Spain,male,ES,Madrid,Madrid University,Spain,42.4743211,-1.1051474

Theodore Roosevelt,,Roosevelt,Theodore,1,1858-10-27,1906,47,"New York, NY",1919-01-06,false,peace,USA,male,US,,none,,40.7308619,-73.9871558

Joseph John Thomson,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,Thomson,Joseph John,1,1856-12-18,1906,49,"Cheetham Hill, near Manchester",1940-08-30,false,physics,United Kingdom,male,GB,Cambridge,Cambridge,United Kingdom,53.5032866,-2.2344764

Eduard Buchner,for his biochemical researches and his discovery of cell-free fermentation,Buchner,Eduard,1,1860-05-20,1907,46,Munich,1917-08-13,false,chemistry,Bavaria (now Germany),male,DE,Berlin,Landwirtschaftliche Hochschule (Agricultural College),Germany,48.1371079,11.5753822

Rudyard Kipling,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author",Kipling,Rudyard,1,1865-12-30,1907,41,Bombay,1936-01-18,false,literature,British India (now India),male,IN,,none,,18.9387711,72.8353355

Charles Louis Alphonse Laveran,in recognition of his work on the role played by protozoa in causing diseases,Laveran,Charles Louis Alphonse,1,1845-06-18,1907,61,Paris,1922-05-18,false,medicine,France,male,FR,Paris,Institut Pasteur,France,48.8566101,2.3514992

Louis Renault,,Renault,Louis,2,1843-05-21,1907,63,Autun,1918-02-08,false,peace,France,male,FR,Paris,Sorbonne University,France,46.9510313,4.2989478

Ernesto Teodoro Moneta,,Moneta,Ernesto Teodoro,2,1833-09-20,1907,73,Milan,1918-02-10,false,peace,Austrian Empire (now Italy),male,IT,,none,,45.4667971,9.1904984

Albert Abraham Michelson,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,Michelson,Albert Abraham,1,1852-12-19,1907,54,Strelno (now Strzelno),1931-05-09,false,physics,Prussia (now Poland),male,PL,"Chicago, IL",University of Chicago,USA,52.6301742,18.1733807

Ernest Rutherford,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances",Rutherford,Ernest,1,1871-08-30,1908,36,Nelson,1937-10-19,false,chemistry,New Zealand,male,NZ,Manchester,Victoria University,United Kingdom,-41.09940685,173.42887551844

Rudolf Christoph Eucken,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life",Eucken,Rudolf Christoph,1,1846-01-05,1908,61,Aurich,1926-09-14,false,literature,East Friesland (now Germany),male,DE,,none,,53.4695604,7.4823808

Paul Ehrlich,in recognition of their work on immunity,Ehrlich,Paul,2,1854-03-14,1908,53,Strehlen (now Strzelin),1915-08-20,false,medicine,Prussia (now Poland),male,PL,Göttingen,Goettingen University,Germany,50.78092,17.0683947

Ilya Ilyich Mechnikov,in recognition of their work on immunity,Mechnikov,Ilya Ilyich,2,1845-05-15,1908,62,Kharkov (now Kharkiv),1916-07-15,false,medicine,Russian Empire (now Ukraine),male,UA,Paris,Institut Pasteur,France,49.99142545,36.2722660718121

Klas Pontus Arnoldson,,Arnoldson,Klas Pontus,2,1844-10-27,1908,63,Gothenburg,1916-02-20,false,peace,Sweden,male,SE,,none,,57.7072326,11.9670171

Fredrik Bajer,,Bajer,Fredrik,2,1837-04-21,1908,70,Næstved,1922-01-22,false,peace,Denmark,male,DK,,none,,55.2328252,11.7674102

Gabriel Lippmann,for his method of reproducing colours photographically based on the phenomenon of interference,Lippmann,Gabriel,1,1845-08-16,1908,62,Hollerich,1921-07-13,false,physics,Luxembourg,male,LU,Paris,Sorbonne University,France,49.6021549,6.11611258532035

Wilhelm Ostwald,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction,Ostwald,Wilhelm,1,1853-09-02,1909,55,Riga,1932-04-04,false,chemistry,Russian Empire (now Latvia),male,LV,Leipzig,Leipzig University,Germany,56.9493977,24.1051846

Selma Ottilia Lovisa Lagerlöf,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings",Lagerlöf,Selma Ottilia Lovisa,1,1858-11-20,1909,50,Mårbacka,1940-03-16,false,literature,Sweden,female,SE,,none,,59.7809224,13.2331374

Emil Theodor Kocher,"for his work on the physiology, pathology and surgery of the thyroid gland",Kocher,Emil Theodor,1,1841-08-25,1909,67,Berne,1917-07-27,false,medicine,Switzerland,male,CH,Berne,Berne University,Switzerland,46.9482713,7.4514512

Auguste Marie François Beernaert,,Beernaert,Auguste Marie François,2,1829-07-26,1909,79,Ostend,1912-10-06,false,peace,Belgium,male,BE,,none,,51.2258565,2.919496

"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",,"d'Estournelles de Constant, Baron de Constant de Rebecque",Paul Henri Benjamin Balluet,2,1852-11-22,1909,56,La Flèche,1924-05-15,false,peace,France,male,FR,,none,,47.6968408,-0.0746149

Karl Ferdinand Braun,in recognition of their contributions to the development of wireless telegraphy,Braun,Karl Ferdinand,2,1850-06-06,1909,58,Fulda,1918-04-20,false,physics,Hesse-Kassel (now Germany),male,DE,Strasbourg,Strasbourg University,"Alsace (then Germany, now France)",50.5521486,9.676511

Guglielmo Marconi,in recognition of their contributions to the development of wireless telegraphy,Marconi,Guglielmo,2,1874-04-25,1909,34,Bologna,1937-07-20,false,physics,Italy,male,IT,London,Marconi Wireless Telegraph Co. Ltd.,United Kingdom,44.4936714,11.3430347

Otto Wallach,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds,Wallach,Otto,1,1847-03-27,1910,62,Koenigsberg (now Kaliningrad),1931-02-26,false,chemistry,Germany (now Russia),male,RU,Göttingen,Goettingen University,Germany,54.7066422,20.5105166

Paul Johann Ludwig Heyse,"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories",Heyse,Paul Johann Ludwig,1,1830-03-15,1910,79,Berlin,1914-04-02,false,literature,Prussia (now Germany),male,DE,,none,,52.5170365,13.3888599

Albrecht Kossel,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",Kossel,Albrecht,1,1853-09-16,1910,56,Rostock,1927-07-05,false,medicine,Mecklenburg (now Germany),male,DE,Heidelberg,University of Heidelberg,Germany,54.0924445,12.1286127

Johannes Diderik van der Waals,for his work on the equation of state for gases and liquids,van der Waals,Johannes Diderik,1,1837-11-23,1910,72,Leiden,1923-03-08,false,physics,the Netherlands,male,NL,Amsterdam,Amsterdam University,the Netherlands,52.1518157,4.48110886662043

"Marie Curie, née Sklodowska","in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element","Curie, née Sklodowska",Marie,1,1867-11-07,1911,43,Warsaw,1934-07-04,false,chemistry,Russian Empire (now Poland),female,PL,Paris,Sorbonne University,France,52.2319237,21.0067265

Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations",Maeterlinck,Count Maurice (Mooris) Polidore Marie Bernhard,1,1862-08-29,1911,48,Ghent,1949-05-06,false,literature,Belgium,male,BE,,none,,51.0538286,3.7250121

Allvar Gullstrand,for his work on the dioptrics of the eye,Gullstrand,Allvar,1,1862-06-05,1911,48,Landskrona,1930-07-28,false,medicine,Sweden,male,SE,Uppsala,Uppsala University,Sweden,55.8698007,12.8296734

Tobias Michael Carel Asser,,Asser,Tobias Michael Carel,2,1838-04-28,1911,72,Amsterdam,1913-07-29,false,peace,the Netherlands,male,NL,,none,,52.3745403,4.89797550561798

Alfred Hermann Fried,,Fried,Alfred Hermann,2,1864-11-11,1911,46,Vienna,1921-05-05,false,peace,Austria,male,AT,,none,,48.2083537,16.3725042

Wilhelm Wien,for his discoveries regarding the laws governing the radiation of heat,Wien,Wilhelm,1,1864-01-13,1911,46,Gaffken (now Parusnoye),1928-08-30,false,physics,Prussia (now Russia),male,RU,Würzburg,Würzburg University,Germany,54.7731144,20.0331689

Victor Grignard,"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry",Grignard,Victor,2,1871-05-06,1912,40,Cherbourg,1935-12-13,false,chemistry,France,male,FR,Nancy,Nancy University,France,49.51271975,-1.57554410903806

Paul Sabatier,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years,Sabatier,Paul,2,1854-11-05,1912,57,Carcassonne,1941-08-14,false,chemistry,France,male,FR,Toulouse,Toulouse University,France,43.2130358,2.3491069

Gerhart Johann Robert Hauptmann,"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art",Hauptmann,Gerhart Johann Robert,1,1862-11-15,1912,49,Bad Salzbrunn,1946-06-06,false,literature,Prussia (now Germany),male,DE,,none,,52.1892615,12.9158805847969

Alexis Carrel,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,Carrel,Alexis,1,1873-06-28,1912,38,Sainte-Foy-lès-Lyon,1944-11-05,false,medicine,France,male,FR,"New York, NY",Rockefeller,USA,45.7362255,4.7934767

Elihu Root,,Root,Elihu,1,1845-02-15,1912,66,"Clinton, NY",1937-02-07,false,peace,USA,male,US,,none,,44.7278943,-73.6686982

Nils Gustaf Dalén,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,Dalén,Nils Gustaf,1,1869-11-30,1912,42,Stenstorp,1937-12-09,false,physics,Sweden,male,SE,Lidingö-Stockholm,Swedish Gas-Accumulator Co.,Sweden,58.2713175,13.7133276

Alfred Werner,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,Werner,Alfred,1,1866-12-12,1913,46,Mulhouse,1919-11-15,false,chemistry,France,male,FR,Zurich,University of Zurich,Switzerland,47.7494188,7.3399355

Rabindranath Tagore,"because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West",Tagore,Rabindranath,1,1861-05-07,1913,51,Calcutta,1941-08-07,false,literature,India,male,IN,,none,,22.5677459,88.3476023

Charles Robert Richet,in recognition of his work on anaphylaxis,Richet,Charles Robert,1,1850-08-26,1913,62,Paris,1935-12-04,false,medicine,France,male,FR,Paris,Sorbonne University,France,48.8566101,2.3514992

Henri La Fontaine,,La Fontaine,Henri,1,1854-04-22,1913,58,Brussels,1943-05-14,false,peace,Belgium,male,BE,,none,,50.8465573,4.351697

Heike Kamerlingh Onnes,"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium",Kamerlingh Onnes,Heike,1,1853-09-21,1913,59,Groningen,1926-02-21,false,physics,the Netherlands,male,NL,Leiden,Leiden University,the Netherlands,53.2217925,6.55824533479853

Theodore William Richards,in recognition of his accurate determinations of the atomic weight of a large number of chemical elements,Richards,Theodore William,1,1868-01-31,1914,45,"Germantown, PA",1928-04-02,false,chemistry,USA,male,US,"Cambridge, MA",Harvard,USA,40.0434449,-75.1801775

Robert Bárány,for his work on the physiology and pathology of the vestibular apparatus,Bárány,Robert,1,1876-04-22,1914,37,Vienna,1936-04-08,false,medicine,Austria,male,AT,Vienna,Vienna University,Austria,48.2083537,16.3725042

Max von Laue,for his discovery of the diffraction of X-rays by crystals,von Laue,Max,1,1879-10-09,1914,34,Pfaffendorf,1960-04-23,false,physics,Germany,male,DE,Frankfurt-on-the-Main,Frankfurt-on-the-Main University,Germany,50.3432963,7.602154

Richard Martin Willstätter,"for his researches on plant pigments, especially chlorophyll",Willstätter,Richard Martin,1,1872-08-13,1915,42,Karlsruhe,1942-08-03,false,chemistry,Germany,male,DE,Munich,Munich University,Germany,49.0068705,8.4034195

Romain Rolland,as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings,Rolland,Romain,1,1866-01-29,1915,48,Clamecy,1944-12-30,false,literature,France,male,FR,,none,,49.4286111,3.3619444

William Lawrence Bragg,for their services in the analysis of crystal structure by means of X-rays,Bragg,William Lawrence,2,1890-03-31,1915,24,Adelaide,1971-07-01,false,physics,Australia,male,AU,Manchester,Victoria University,United Kingdom,-34.9281805,138.5999312

Sir William Henry Bragg,for their services in the analysis of crystal structure by means of X-rays,Bragg,Sir William Henry,2,1862-07-02,1915,52,Wigton,1942-03-12,false,physics,United Kingdom,male,GB,London,University College,United Kingdom,54.8250263,-3.1583101

Carl Gustaf Verner von Heidenstam,in recognition of his significance as the leading representative of a new era in our literature,von Heidenstam,Carl Gustaf Verner,1,1859-07-06,1916,56,Olshammar,1940-05-20,false,literature,Sweden,male,SE,,none,,58.7555403,14.7995023

Henrik Pontoppidan,for his authentic descriptions of present-day life in Denmark,Pontoppidan,Henrik,2,1857-07-24,1917,59,Fredericia,1943-08-21,false,literature,Denmark,male,DK,,none,,55.565268,9.7562169

Karl Adolph Gjellerup,"for his varied and rich poetry, which is inspired by lofty ideals",Gjellerup,Karl Adolph,2,1857-06-02,1917,59,Roholte,1919-10-11,false,literature,Denmark,male,DK,,none,,55.195011,12.090212152543

Charles Glover Barkla,for his discovery of the characteristic R&ouml;ntgen radiation of the elements,Barkla,Charles Glover,1,1877-06-07,1917,39,Widnes,1944-10-23,false,physics,United Kingdom,male,GB,Edinburgh,Edinburgh University,United Kingdom,53.3646888,-2.7283328

Fritz Haber,for the synthesis of ammonia from its elements,Haber,Fritz,1,1868-12-09,1918,49,Breslau (now Wroclaw),1934-01-29,false,chemistry,Prussia (now Poland),male,PL,Berlin-Dahlem,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Germany,51.1263106,16.9781963305126

Max Karl Ernst Ludwig Planck,in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta,Planck,Max Karl Ernst Ludwig,1,1858-04-23,1918,59,Kiel,1947-10-04,false,physics,Schleswig (now Germany),male,DE,Berlin,Berlin University,Germany,54.3227085,10.135555

Carl Friedrich Georg Spitteler,"in special appreciation of his epic, <I>Olympian Spring</I>",Spitteler,Carl Friedrich Georg,1,1845-04-24,1919,73,Liestal,1924-12-29,false,literature,Switzerland,male,CH,,none,,47.4839723,7.7347783

Jules Bordet,for his discoveries relating to immunity,Bordet,Jules,1,1870-06-13,1919,48,Soignies,1961-04-06,false,medicine,Belgium,male,BE,Brussels,Brussels University,Belgium,50.5775309,4.0732968

Thomas Woodrow Wilson,,Wilson,Thomas Woodrow,1,1856-12-28,1919,62,"Staunton, VA",1924-02-03,false,peace,USA,male,US,,none,,38.1495947,-79.072557

Johannes Stark,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields,Stark,Johannes,1,1874-04-15,1919,44,Schickenhof,1957-06-21,false,physics,Germany,male,DE,Greifswald,Greifswald University,Germany,48.3402164,12.858267

Walther Hermann Nernst,in recognition of his work in thermochemistry,Nernst,Walther Hermann,1,1864-06-25,1920,55,Briesen,1941-11-18,false,chemistry,Prussia (now Germany),male,DE,Berlin,Berlin University,Germany,51.82163515,14.2378245816353

Knut Pedersen Hamsun,"for his monumental work, <I>Growth of the Soil</I>",Hamsun,Knut Pedersen,1,1859-08-04,1920,60,Lom,1952-02-19,false,literature,Norway,male,NO,,none,,61.71821685,8.43469350265195

Schack August Steenberg Krogh,for his discovery of the capillary motor regulating mechanism,Krogh,Schack August Steenberg,1,1874-11-15,1920,45,Grenå,1949-09-13,false,medicine,Denmark,male,DK,Copenhagen,Copenhagen University,Denmark,56.411943,10.8915327041485

Léon Victor Auguste Bourgeois,,Bourgeois,Léon Victor Auguste,1,1851-05-21,1920,68,Paris,1925-09-29,false,peace,France,male,FR,,none,,48.8566101,2.3514992

Charles Edouard Guillaume,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys,Guillaume,Charles Edouard,1,1861-02-15,1920,58,Fleurier,1938-06-13,false,physics,Switzerland,male,CH,Sèvres,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),France,46.8993482,6.5840333

Frederick Soddy,"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes",Soddy,Frederick,1,1877-09-02,1921,43,Eastbourne,1956-09-22,false,chemistry,United Kingdom,male,GB,Oxford,University of Oxford,United Kingdom,50.7685625,0.2970299

Anatole France,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",France,Anatole,1,1844-04-16,1921,76,Paris,1924-10-12,false,literature,France,male,FR,,none,,48.8566101,2.3514992

Karl Hjalmar Branting,,Branting,Karl Hjalmar,2,1860-11-23,1921,60,Stockholm,1925-02-24,false,peace,Sweden,male,SE,,none,,59.3251172,18.0710935

Christian Lous Lange,,Lange,Christian Lous,2,1869-09-17,1921,51,Stavanger,1938-12-11,false,peace,Norway,male,NO,,none,,58.9680427,5.7324722

Albert Einstein,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",Einstein,Albert,1,1879-03-14,1921,41,Ulm,1955-04-18,false,physics,Germany,male,DE,Berlin,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Germany,48.3973944,9.9932755

Francis William Aston,"for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule",Aston,Francis William,1,1877-09-01,1922,44,Harborne,1945-11-20,false,chemistry,United Kingdom,male,GB,Cambridge,Cambridge,United Kingdom,52.4595363,-1.9503355

Jacinto Benavente,for the happy manner in which he has continued the illustrious traditions of the Spanish drama,Benavente,Jacinto,1,1866-08-12,1922,55,Madrid,1954-07-14,false,literature,Spain,male,ES,,none,,40.4167047,-3.7035825

Archibald Vivian Hill,for his discovery relating to the production of heat in the muscle,Hill,Archibald Vivian,2,1886-09-26,1922,35,Bristol,1977-06-03,false,medicine,United Kingdom,male,GB,London,London University,United Kingdom,51.4538022,-2.5972985

Otto Fritz Meyerhof,for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle,Meyerhof,Otto Fritz,2,1884-04-12,1922,37,Hanover,1951-10-06,false,medicine,Germany,male,DE,Kiel,Kiel University,Germany,52.3744779,9.7385532

Fridtjof Nansen,,Nansen,Fridtjof,1,1861-10-10,1922,60,Kristiania (now Oslo),1930-05-13,false,peace,Norway,male,NO,,none,,59.9133301,10.7389701

